time,predator_abundance,prey1_abundance,prey2_abundance,dilution,replicate
7,3777.777778,2246844.444,41866.66667,0.9,1
8,3925.925926,2170088.889,48844.44444,0.9,1
9,4222.222222,2372444.444,34888.88889,0.9,1
10,4222.222222,2386400,41866.66667,0.9,1
11,4370.37037,2372444.444,41866.66667,0.9,1
12,4518.518519,2330577.778,41866.66667,0.9,1
13,4296.296296,2253822.222,34888.88889,0.9,1
14,4629.62963,2198000,48844.44444,0.9,1
15,4259.259259,2253822.222,48844.44444,0.9,1
16,4740.740741,2218933.333,48844.44444,0.9,1
17,4296.296296,2295688.889,41866.66667,0.9,1
18,4592.592593,2232888.889,62800,0.9,1
19,4259.259259,2267777.778,48844.44444,0.9,1
20,4111.111111,2267777.778,55822.22222,0.9,1
21,4259.259259,2225911.111,41866.66667,0.9,1
22,4148.148148,2246844.444,48844.44444,0.9,1
